no,nama,alamat,ketua,jenis_usaha,no_register,anggota,wilker
112,Sido Makmur II,Desa Sumberdadap Kelurahan Pucanglaban Kabupaten Tulungagung,Suyono,"Hutan Rakyat,  Jati, Sengon",35/04/12.2008/KTH/111/2004,32,2
113,Sido Makmur III,Desa Sumberdadap Kelurahan Pucanglaban Kabupaten Tulungagung,Supardi,"Hutan Rakyat,  Jati, Sengon",35/04/12.2008/KTH/112/2004,37,2
114,Bumi Luhur,Desa Demuk Kelurahan Pucanglaban Kabupaten Tulungagung,Aminudin,"Hutan Rakyat,  Jati, Sengon",35/04/12.2009/KTH/113/2004,36,2
115,Bumi Subur,Desa Demuk Kelurahan Pucanglaban Kabupaten Tulungagung,Jumari,"Hutan Rakyat,  Jati, Sengon",35/04/12.2009/KTH/114/2010,39,2
116,Bumi Lestari,Desa Demuk Kelurahan Pucanglaban Kabupaten Tulungagung,Sujianto,"Hutan Rakyat,  Jati, Sengon",35/04/12.2009/KTH/115/2004,41,2
117,Tani Makmur I,Desa Sukorejo Wetan Kelurahan Rejotangan Kabupaten Tulungagung,Rusmi,Hutan Rakyat,35/04/13.2005/KTH/116/2003,21,2
118,Tani Makmur II,Desa Sukorejo Wetan Kelurahan Rejotangan Kabupaten Tulungagung,Gunaryo,Hutan Rakyat,35/04/13.2005/KTH/117/2005,50,2
119,Tani Makmur III,Desa Sukorejo Wetan Kelurahan Rejotangan Kabupaten Tulungagung,Ghofur,Hutan Rakyat,35/04/13.2005/KTH/118/2007,57,2
120,Sido Makmur I,Desa Tanen Kelurahan Rejotangan Kabupaten Tulungagung,Sunarko,Hutan Rakyat,35/04/13.2008/KTH/119/2004,50,2
121,Sido Makmur II,Desa Tanen Kelurahan Rejotangan Kabupaten Tulungagung,Mujiono,Hutan Rakyat,35/04/13.2008/KTH/120/2005,37,2
122,Karya Makmur II,Desa Sumberagung Kelurahan Rejotangan Kabupaten Tulungagung,Katirin,Hutan Rakyat,35/04/13.2009/KTH/121/2004,76,2
123,Karya Makmur III,Desa Sumberagung Kelurahan Rejotangan Kabupaten Tulungagung,Parno,Hutan Rakyat,35/04/13.2009/KTH/122/2004,51,2
124,Karya Makmur IV,Desa Sumberagung Kelurahan Rejotangan Kabupaten Tulungagung,Sunarko,Hutan Rakyat,35/04/13.2009/KTH/123/2006,81,2
125,Kebon,Desa Sumberagung Kelurahan Rejotangan Kabupaten Tulungagung,Sutris,Hutan Rakyat,35/04/13.2009/KTH/124/2007,46,2
126,Jati Agung I,Desa Sumberagung Kelurahan Rejotangan Kabupaten Tulungagung,Timan,Hutan Rakyat,35/04/13.2009/KTH/125/2007,34,2
127,Jati Agung II,Desa Sumberagung Kelurahan Rejotangan Kabupaten Tulungagung,Marjuni,Hutan Rakyat,35/04/13.2009/KTH/126/2007,42,2
128,Jati Agung III,Desa Sumberagung Kelurahan Rejotangan Kabupaten Tulungagung,Marsaid,Hutan Rakyat,35/04/13.2009/KTH/127/2004,56,2
129,Blimbing I,Desa Blimbing Kelurahan Rejotangan Kabupaten Tulungagung,Agus Purwanto,Hutan Rakyat,35/04/13.2010/KTH/128/2007,62,2
130,Sidoluhur,Desa Tenggong Kelurahan Rejotangan Kabupaten Tulungagung,Mursid,Hutan Rakyat,35/04/13.2015/KTH/129/2005,40,2
131,Usaha Jaya IV,Desa Kalibatur Kelurahan Kalidawir Kabupaten Tulungagung,Lamiran,Hutan Rakyat,35/04/14.2001/KTH/130/2002,65,2
132,Usaha Jaya V,Desa Kalibatur Kelurahan Kalidawir Kabupaten Tulungagung,Samsul Huda,Hutan Rakyat,35/04/14.2001/KTH/131/2004,62,2
133,Ngudi Subur,Desa Kalibatur Kelurahan Kalidawir Kabupaten Tulungagung,Marsum,Hutan Rakyat,35/04/14.2001/KTH/132/2004,35,2
134,Jaya Subur,Desa Kalibatur Kelurahan Kalidawir Kabupaten Tulungagung,Murjani,Hutan Rakyat,35/04/14.2001/KTH/133/2004,22,2
135,Sumber Lestari,Desa Rejosari Kelurahan Kalidawir Kabupaten Tulungagung,Mugiyat,Hutan Rakyat,35/04/14.2002/KTH/134/2009,43,2
136,Marsudi Tani III,Desa Rejosari Kelurahan Kalidawir Kabupaten Tulungagung,Budiono,Hutan Rakyat,35/04/14.2002/KTH/135/2003,75,2
137,Marsudi Tani V,Desa Rejosari Kelurahan Kalidawir Kabupaten Tulungagung,Ali Maksum,Hutan Rakyat,35/04/14.2002/KTH/136/2004,30,2
138,Marsudi Tani VIII,Desa Rejosari Kelurahan Kalidawir Kabupaten Tulungagung,H. Abunadi,Hutan Rakyat,35/04/14.2002/KTH/137/2005,47,2
139,Suko Makmur,Desa Sukorejo Kulon Kelurahan Kalidawir Kabupaten Tulungagung,Salam Nurhadi,Hutan Rakyat,35/04/14.2003/KTH/138/2007,25,2
140,Wono Langgeng,Desa Kalidawir Kelurahan Kalidawir Kabupaten Tulungagung,Mulyono,Hutan Rakyat,35/04/14.2004/KTH/139/2014,41,2
141,Barokah Tani,Desa Karangtalun Kelurahan Kalidawir Kabupaten Tulungagung,Sumiran,Hutan Rakyat,35/04/14.2005/KTH/140/2006,78,2
142,Tani Jaya I,Desa Banyuurip Kelurahan Kalidawir Kabupaten Tulungagung,Jumiran,Hutan Rakyat,35/04/14.2006/KTH/141/2004,60,2
143,Tani Jaya II,Desa Banyuurip Kelurahan Kalidawir Kabupaten Tulungagung,Suyatno,Hutan Rakyat,35/04/14.2006/KTH/142/2004,62,2
144,Ngudi Makur,Desa Banyuurip Kelurahan Kalidawir Kabupaten Tulungagung,Siswoyo,Hutan Rakyat,35/04/14.2006/KTH/143/2007,59,2
145,Trisna Jaya,Desa Banyuurip Kelurahan Kalidawir Kabupaten Tulungagung,Sinto,Hutan Rakyat,35/04/14.2006/KTH/144/2008,57,2
146,Ngudi Mulyo,Desa Winong Kelurahan Kalidawir Kabupaten Tulungagung,Sipan,Hutan Rakyat,35/04/14.2007/KTH/145/2001,55,2
147,Mongkrong Jaya,Desa Winong Kelurahan Kalidawir Kabupaten Tulungagung,Sutaji,Hutan Rakyat,35/04/14.2007/KTH/146/2003,45,2
148,Ngudi Makmur,Desa Winong Kelurahan Kalidawir Kabupaten Tulungagung,Siti Khoiriyah,Hutan Rakyat,35/04/14.2007/KTH/147/2004,63,2
149,Sido Makmur,Desa Joho Kelurahan Kalidawir Kabupaten Tulungagung,Anang Sakri,Hutan Rakyat,35/04/14.2008/KTH/148/2006,75,2
150,Tani Agung,Desa Joho Kelurahan Kalidawir Kabupaten Tulungagung,Agus Charmin,Hutan Rakyat,35/04/14.2008/KTH/149/2008,50,2
151,Pakis Sejati,Desa Pakisaji Kelurahan Kalidawir Kabupaten Tulungagung,Ribut Listiono,Hutan Rakyat,35/04/14.2009/KTH/150/2006,35,2
152,Ngudi Makmur,Desa Ngubalan Kelurahan Kalidawir Kabupaten Tulungagung,Munaris,Hutan Rakyat,35/04/14.2013/KTH/151/2003,72,2
153,Lestari,Desa Betak Kelurahan Kalidawir Kabupaten Tulungagung,Khoirur Rokim,Hutan Rakyat,35/04/14.2016/KTH/152/2007,64,2
154,Pagerharjo I,Desa Pagersari Kelurahan Kalidawir Kabupaten Tulungagung,Sumidjan,Hutan Rakyat,35/04/14.2017/KTH/153/2004,41,2
155,Pagerharjo II,Desa Pagersari Kelurahan Kalidawir Kabupaten Tulungagung,Samuri,Hutan Rakyat,35/04/14.2017/KTH/154/2006,85,2
156,Ngudi Wana Lestari,Desa Besuki Kelurahan Besuki Kabupaten Tulungagung,Sutarji,Hutan Rakyat,35/04/15.2003/KTH/155/2003,39,2
157,Rimba Desa,Desa Tanggul Turus Kelurahan Besuki Kabupaten Tulungagung,Samsudin,Hutan Rakyat,35/04/15.2005/KTH/156/2004,42,2
158,Redi Mulyo Lestari,Desa Sedayugunung Kelurahan Besuki Kabupaten Tulungagung,Suhud,Hutan Rakyat,35/04/15.2006/KTH/157/2003,40,2
159,Jirak Tani Makmur,Desa Sedayugunung Kelurahan Besuki Kabupaten Tulungagung,Paryanto,Hutan Rakyat,35/04/15.2006/KTH/158/2016,74,2
160,Karya Taruna,Desa Sitoyobagus Kelurahan Besuki Kabupaten Tulungagung,Jaelani,Hutan Rakyat,35/04/15.2009/KTH/159/2003,159,2
161,Rejo Makmur,Desa Tulungrejo Kelurahan Besuki Kabupaten Tulungagung,Mulyono,Hutan Rakyat,35/04/15.2010/KTH/160/2003,73,2
162,Guwolinci,Desa Ngentrong Kelurahan Campurdarat Kabupaten Tulungagung,Sobari,Hutan Rakyat  Pengkayaan,35/04/16.2001/KTH/161/1999,72,2
163,Sri Sedono,Desa Sawo Kelurahan Campurdarat Kabupaten Tulungagung,Wasian,Hutan Rakyat Pengkayaan,35/04/16.2003/KTH/162/2006,76,2
164,Karya Tani ,Desa Gamping Kelurahan Campurdarat Kabupaten Tulungagung,Paimin,Hutan Rakyat Pengkayaan,35/04/16.2004/KTH/163/2006,43,2
165,Giri Mulyo,Desa Gamping Kelurahan Campurdarat Kabupaten Tulungagung,Mulyanto,Hutan Rakyat Pengkayaan,35/04/16.2004/KTH/164/2007,76,2
166,Suko Maju,Desa Campurdarat Kelurahan Campurdarat Kabupaten Tulungagung,Lukman,Hutan Rakyat Pengkayaan,35/04/16.2005/KTH/165/2008,83,2
167,Mustiko Tani,Desa Pelem Kelurahan Campurdarat Kabupaten Tulungagung,Saniman,Hutan Rakyat Pengkayaan,35/04/16.2007/KTH/166/2005,46,2
168,Tani Jaya,Desa Pelem Kelurahan Campurdarat Kabupaten Tulungagung,Haryono,Hutan Rakyat Pengkayaan,35/04/16.2007/KTH/167/2006,105,2
169,Darma Harapan,Desa Pojok Kelurahan Campurdarat Kabupaten Tulungagung,Lamidi,Hutan Rakyat Pengkayaan,35/04/16.2008/KTH/168/2005,58,2
170,Sido Makmur,Desa Tanggung Kelurahan Campurdarat Kabupaten Tulungagung,Sutrisno,Hutan Rakyat Pengkayaan,35/04/16.2009/KTH/169/2005,74,2
171,Guyub Rukun I,Desa Nglampir Kelurahan Bandung Kabupaten Tulungagung,Suminto,Hutan Rakyat,35/04/17.2001/KTH/170/2010,15,2
172,Guyub Rukun II,Desa Nglampir Kelurahan Bandung Kabupaten Tulungagung,Sulawan,Hutan Rakyat,35/04/17.2001/KTH/171/2012,15,2
173,Guyub Rukun III,Desa Nglampir Kelurahan Bandung Kabupaten Tulungagung,Sadikun,Hutan Rakyat,35/04/17.2001/KTH/172/2013,16,2
174,Tani Makmur,Desa Talunkulon Kelurahan Bandung Kabupaten Tulungagung,Wasingin,Hutan Rakyat,35/04/17.2002/KTH/173/2009,17,2
175,Sido Makmur,Desa Bantengan Kelurahan Bandung Kabupaten Tulungagung,Sukaji,Hutan Rakyat,35/04/17.2003/KTH/174/2010,15,2
176,Lohjinawi II,Desa Sebalor Kelurahan Bandung Kabupaten Tulungagung,Kasidin,Hutan Rakyat,35/04/17.2010/KTH/175/2011,15,2
177,Lohjinawi III,Desa Sebalor Kelurahan Bandung Kabupaten Tulungagung,Kardi,Hutan Rakyat,35/04/17.2010/KTH/176/2011,19,2
178,Sidomulyo,Desa Sukoharjo Kelurahan Bandung Kabupaten Tulungagung,Jiat,Hutan Rakyat,35/04/17.2011/KTH/177/2011,18,2
179,Kaliwungu,Desa Kresikan Kelurahan Tanggunggunung Kabupaten Tulungagung,Sumadi Yuono,Hutan Rakyat,35/04/19.2001/KTH/178/2009,65,2
180,Karya Mukti,Desa Kresikan Kelurahan Tanggunggunung Kabupaten Tulungagung,Sutono,Hutan Rakyat,35/04/19.2001/KTH/179/2010,68,2
181,Ngresah,Desa Kresikan Kelurahan Tanggunggunung Kabupaten Tulungagung,Sijan Sainudin,Hutan Rakyat,35/04/19.2001/KTH/180/2009,72,2
182,Wonoagung,Desa Jengglungharjo Kelurahan Tanggunggunung Kabupaten Tulungagung,Suwadat,Hutan Rakyat,35/04/19.2002/KTH/181/2014,65,2
183,Jengglung Mulyo,Desa Jengglungharjo Kelurahan Tanggunggunung Kabupaten Tulungagung,Wajir,Hutan Rakyat,35/04/19.2002/KTH/182/2005,63,2
184,Klumpit,Desa Jengglungharjo Kelurahan Tanggunggunung Kabupaten Tulungagung,Supriyanto,Hutan Rakyat,35/04/19.2002/KTH/183/2008,63,2
185,Plandaan,Desa Jengglungharjo Kelurahan Tanggunggunung Kabupaten Tulungagung,Ebon Hartono,Hutan Rakyat,35/04/19.2002/KTH/184/2010,58,2
186,Wonokoyo,Desa Ngrejo Kelurahan Tanggunggunung Kabupaten Tulungagung,Sugito,Hutan Rakyat,35/04/19.2003/KTH/185/2006,79,2
187,Wan Asri,Desa Ngrejo Kelurahan Tanggunggunung Kabupaten Tulungagung,Bandi,Hutan Rakyat,35/04/19.2003/KTH/186/2004,65,2
188,Jaten Raya,Desa Ngrejo Kelurahan Tanggunggunung Kabupaten Tulungagung,Jaidi,Hutan Rakyat,35/04/19.2003/KTH/187/2005,92,2
189,Kalianget Asri,Desa Ngrejo Kelurahan Tanggunggunung Kabupaten Tulungagung,Murjito,Hutan Rakyat,35/04/19.2003/KTH/188/2004,69,2
190,Wonojoyo,Desa Tanggunggunung Kelurahan Tanggunggunung Kabupaten Tulungagung,Supriyono,Hutan Rakyat,35/04/19.2004/KTH/189/2003,65,2
191,Ngemplaksari,Desa Tanggunggunung Kelurahan Tanggunggunung Kabupaten Tulungagung,Lani,Hutan Rakyat,35/04/19.2004/KTH/190/2004,63,2
192,Ngipik,Desa Tanggungunung Kelurahan Tanggunggunung Kabupaten Tulungagung,Sukijan,Hutan Rakyat,35/04/19.2004/KTH/191/2005,73,2
193,Banyon,Desa Ngepoh Kelurahan Tanggunggunung Kabupaten Tulungagung,Sutrisno Azis,Hutan Rakyat,35/04/19.2005/KTH/192/2004,102,2
194,Ngrancah,Desa Ngepoh Kelurahan Tanggunggunung Kabupaten Tulungagung,Sukiran Bero,Hutan Rakyat,35/04/19.2005/KTH/193/2004,86,2
195,Bolu Makmur,Desa Ngepoh Kelurahan Tanggunggunung Kabupaten Tulungagung,Samsudin,Hutan Rakyat,35/04/19.2005/KTH/194/2005,68,2
196,Tani Mulyo,Desa Tenggarejo Kelurahan Tanggunggunung Kabupaten Tulungagung,Sumadi S,Hutan Rakyat,35/04/19.2006/KTH/195/2003,45,2
197,Turi Bersemi,Desa Tenggarejo Kelurahan Tanggunggunung Kabupaten Tulungagung,Suwandi,Hutan Rakyat,35/04/19.2006/KTH/196/2008,79,2
198,Bakalan Asri,Desa Tenggarejo Kelurahan Tanggunggunung Kabupaten Tulungagung,Ladi,Hutan Rakyat,35/04/19.2006/KTH/197/2010,48,2
199,Harapan II,Desa Pakiisrejo Kelurahan Tanggunggunung Kabupaten Tulungagung,Rumiyar,Hutan Rakyat,35/04/19.2007/KTH/198/2004,68,2
200,Wana Lestari,Desa Pakiisrejo Kelurahan Tanggunggunung Kabupaten Tulungagung,Siswanto,Hutan Rakyat,35/04/19.2007/KTH/199/2004,67,2
201,Jinggring Mulyo,Desa Pakiisrejo Kelurahan Tanggunggunung Kabupaten Tulungagung,Suyut,Hutan Rakyat,35/04/19.2007/KTH/200/2010,74,2
202,Sumber Lestari ,Kelurahan Prigi  Kecamatan Watulimo  Kabupaten Trenggalek,Sukadji ,Perhutanan Sosial ,35/03/08/2011/KTH/078/2023 ,300,1
203,Tani Sentosa ,Kelurahan Ngulungkulon Kecamatan Munjungan Kabupaten Trenggalek,Sumari,Perhutanan Sosial ,35/03/02/2001/KTH/079/2023,760,1
204,Bukit Lestari Dawuhan ,Kelurahan Dawuhan Kecamatan Trenggalek Kabupaten Trenggalek,Sapangat ,Perhutanan Sosial ,35/03/11/2013/KTH/080/2023,754,1
205,Rimbun Sumber Sari ,Kelurahan Gandusari Kecamatan Gandusari Kabupaten Trenggalek,Tarmuji ,Perhutanan Sosial ,35/03/10/2006/KTH/081/2023,28,1
206,Sumber Rejeki,Kelurahan Munjungan Kecamatan Munjungan Kabupaten Trenggalek,Sunoto,"PerhutananSosial.Budidaya Cengkeh, Kelapa dan Pucung ",35/03/02/2008/KTH/087/2023,801,1
207,Sido Rukun,Kelurahan Wonocoyo Kecamatan Panggul Kabupaten Trenggalek,Sukarwo,Perhutanan Sosial ,35/03/01/2004/KTH/092/2023,670,1
208,Rimbun Sanggar Makmur,"Dsn. Sanggar, Desa Besuki, Kec. Panggul, Kab. Trenggalek",Suyono,"Hutan Rakyat, pembuatan pupuk organik",35/03/01/2001/KTH.001/2015,40,1
209,Rimbun Bukit Harapan,"Dsn. Karangtengah, Desa Karangtengah, Kec. Panggul, Kab. Trenggalek",Sukiran,Hutan Rakyat,35/03/01/2003/KTH.002/2015,35,1
210,Rimbun Bukit Ulung,"Dsn. Paturan, Desa Depok, Kec. Panggul, Kab. Trenggalek",Jatimin,"Hutan Rakyat, pembuatan gula aren, budidaya Porang",35/03/01/2005/KTH.003/2015,22,1
211,Rimbun Bukit Petung,"Dsn. Petung, Desa Manggis, Kec. Panggul, Kab. Trenggalek",Suparji A.,Hutan Rakyat,35/03/01/2016/KTH.004/2015,26,1
212,Rimbun Bunga Lestari,"RT 6 RW 2 Dsn.Ngrejo, Desa Ngulungkulon, Kec. Munjungan, Kab. Trenggalek",Kajunianto,"Hutan Rakyat, Madu cerana",35/03/02/2001/KTH.005/2015,24,1
213,Rimbun Wono Lestari,"RT 14 RW 3 Dsn.Krajan, Desa Ngulungwetan, Kec. Munjungan, Kab. Trenggalek",Sutarji,Hutan Rakyat,35/03/02/2003/KTH.006/2015,26,1
214,Rimbun Tani Sejahtera,"RT 28 RW 6 Dsn.Gabahan, Desa Tawing, Kec. Munjungan, Kab. Trenggalek",Samikir,"Hutan Rakyat, pembuatan gula aren",35/03/02/2006/KTH.007/2015,29,1
215,Rimbun Wana Basuki,"RT 13 RW 3 Dsn.Ponggok, Desa Besuki, Kec. Munjungan, Kab. Trenggalek",Kadeni,"Hutan Rakyat, Jahe instan",35/03/02/2009/KTH.008/2015,26,1
216,Pule Alam Lestari (Gapoktanhut),"Dsn.Tirisan, Ds.Pule, Kec.Pule, Kab.Trenggalek",Marni,"Budidaya empon-empon, budidaya Porang",35/03/03/2006/KTH.009/2018,35,1
217,Rimbun Rukun Sejahtera,Dusun Krajan RT.06/RW.01,Jarno,"Lebah Madu, Agroforestri, Minyak Atsiri",35/03/03/2007/KTH.010/2015,71,1
218,Rimbun Ngudi Mulyo,"Dusun Ponggok RT.33/RW.04, Ds. Karanganyar, Kec. Pule, Kab. Trenggalek",Purwito,"Lebah Madu, Agroforestri, Aren, Minyak Atsiri",35/03/03/2008/KTH.011/2015,86,1
219,Rimbun Pring Tulis,Dusun Jombok RT.22/RW.07,"Slamet Riyadi, S.Pd","Lebah Madu, Agroforestri",35/03/03/2009/KTH.012/2016,65,1
220,Rimbun Jompong Lestari,"Dsn. Jompong RT 18 RW 7 , Desa Sukokidul, Kec. Pule, Kab. Trenggalek",Puthut Warsi,"Hutan Rakyat, pembuatan mebel kayu",35/03/03/2010/KTH.013/2016,74,1
221,Mekar Sari,RT )9 RW 02 Dusun Plapar Desa Cakul Kecamata Dongko ,Dawami,Hutan Rakyat,35/03/04/2001/KTH.014/2013,20,1
